,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
IL,0.869664027727,0.938209723962,0.956733005631,0.819176182376,0.948285911244,0.862617056841,0.853276619812,0.742347652153,0.991539301856,0.958163943129,0.926316822931,0.831610684898,0.996945409972,1.0,0.834912429529,0.936732526464,0.595676750494,0.872155183679,0.783844179871,0.827332595445,0.891421406952,0.836001735664,0.867332700286,0.841473109101,0.928147443388,0.966912557375,0.980116477399,0.738377068452,0.765130462432,0.569359946669,0.96970421717,0.53367504514,0.774024516891,0.945056531013,0.623974221773,0.750853870132,0.998319304243,0.707483670602,0.632042170118,0.948123767202,0.792648686712,0.773950360928,0.87796255484,0.729037100048,0.950785536716,0.999638590749,0.971018189859,0.941934694334,0.261622931548,0.803653333283
IN,0.965248401802,0.896702705567,0.79164543516,0.984263752847,0.783198340773,0.972295372688,0.981635809717,0.907435222625,0.843373127673,0.793076372658,0.76122925246,0.666523114427,0.831857839501,0.834912429529,1.0,0.771644955992,0.760764320965,0.96275724585,0.948931750342,0.992420165917,0.943491022576,0.998910693865,0.702245129815,0.993439320428,0.763059872917,0.801824986904,0.85479595213,0.57328949798,0.600042891961,0.73444751714,0.865208212358,0.698762615611,0.939112087362,0.779968960542,0.789061792245,0.915941440603,0.836593125286,0.872571241074,0.797129740589,0.886788662327,0.627561116241,0.939037931399,0.712874984369,0.894124670519,0.785697966245,0.83527383878,0.86389423967,0.892977735195,0.426710502019,0.968740903754
KS,0.806396554191,0.874942250426,0.979999520832,0.755908708839,0.988446615219,0.799349583305,0.790009146276,0.679080178617,0.92827182832,0.978568583334,0.989584296467,0.894878158434,0.939787116491,0.936732526464,0.771644955992,1.0,0.532409276958,0.808887710143,0.720576706334,0.764065121909,0.828153933416,0.772734262128,0.930600173822,0.778205635565,0.991414916924,0.969819969089,0.916849003863,0.801644541988,0.828397935969,0.506092473133,0.906436743634,0.470407571604,0.710757043355,0.991675995451,0.560706748237,0.687586396596,0.935051830707,0.644216197066,0.568774696582,0.884856293666,0.855916160248,0.710682887392,0.941230028376,0.665769626512,0.985946989748,0.936371117213,0.907750716323,0.878667220798,0.198355458012,0.740385859747
KY,0.726012722767,0.657467026532,0.552409756126,0.776500568118,0.543962661739,0.733059693653,0.742400130682,0.85332909834,0.604137448638,0.553840693623,0.521993573425,0.427287435392,0.592622160466,0.595676750494,0.760764320965,0.532409276958,1.0,0.723521566815,0.811832570623,0.768344155049,0.704255343542,0.75967501483,0.46300945078,0.754203641393,0.523824193882,0.562589307869,0.615560273095,0.334053818946,0.360807212927,0.973683196175,0.625972533323,0.937998294646,0.821652233603,0.540733281507,0.971702528721,0.844822880362,0.597357446251,0.888193079891,0.963634580376,0.647552983292,0.388325437206,0.821726389566,0.473639305334,0.866639650446,0.54646228721,0.596038159745,0.624658560635,0.65374205616,0.665946181054,0.792023417211
LA,0.997508844048,0.933945459717,0.828888189311,0.947020998697,0.820441094924,0.990461873162,0.981121436133,0.870192468474,0.880615881823,0.830319126808,0.79847200661,0.703765868577,0.869100593651,0.872155183679,0.96275724585,0.808887710143,0.723521566815,1.0,0.911688996191,0.955177411766,0.980733776727,0.963846551985,0.739487883965,0.969317925422,0.800302627067,0.839067741054,0.892038706281,0.61053225213,0.637285646112,0.69720476299,0.902450966509,0.661519861461,0.901869333212,0.817211714692,0.751819038094,0.878698686453,0.873835879436,0.835328486923,0.759886986439,0.924031416477,0.664803870391,0.901795177249,0.750117738519,0.856881916369,0.822940720395,0.87251659293,0.90113699382,0.930220489345,0.389467747869,0.931498149603
MA,0.914180152143,0.845634455909,0.740577185502,0.964667997495,0.732130091115,0.92122712303,0.930567560058,0.958503472283,0.792304878015,0.742008123,0.710161002802,0.615454864768,0.780789589843,0.783844179871,0.948931750342,0.720576706334,0.811832570623,0.911688996191,1.0,0.956511584425,0.892422772919,0.947842444207,0.651176880157,0.94237107077,0.711991623259,0.750756737246,0.803727702472,0.522221248322,0.548974642304,0.785515766798,0.8141399627,0.749830865269,0.99018033702,0.728900710884,0.840130041903,0.967009690261,0.785524875628,0.923639490732,0.848197990247,0.835720412668,0.576492866583,0.990106181057,0.66180673471,0.945192920178,0.734629716586,0.784205589122,0.812825990012,0.841909485537,0.477778751678,0.980190846588
MD,0.957668567718,0.889122871484,0.784065601077,0.99184358693,0.77561850669,0.964715538605,0.974055975633,0.915015056708,0.835793293589,0.785496538575,0.753649418376,0.658943280343,0.824278005418,0.827332595445,0.992420165917,0.764065121909,0.768344155049,0.955177411766,0.956511584425,1.0,0.935911188493,0.991330859782,0.694665295731,0.985859486345,0.755480038833,0.794245152821,0.847216118047,0.565709663897,0.592463057878,0.742027351223,0.857628378275,0.706342449695,0.946691921446,0.772389126458,0.796641626328,0.923521274686,0.829013291203,0.880151075157,0.804709574672,0.879208828243,0.619981282158,0.946617765483,0.705295150285,0.901704504603,0.778118132161,0.827694004696,0.856314405587,0.885397901111,0.434290336103,0.976320737837
ME,0.978242620775,0.953211682991,0.848154412584,0.927754775423,0.839707318197,0.971195649889,0.96185521286,0.850926245201,0.899882105096,0.849585350082,0.817738229883,0.72303209185,0.888366816924,0.891421406952,0.943491022576,0.828153933416,0.704255343542,0.980733776727,0.892422772919,0.935911188493,1.0,0.944580328711,0.758754107238,0.950051702149,0.81956885034,0.858333964327,0.911304929553,0.629798475404,0.656551869385,0.677938539717,0.921717189782,0.642253638188,0.882603109939,0.836477937965,0.732552814821,0.85943246318,0.89310210271,0.81606226365,0.740620763166,0.94329763975,0.684070093664,0.882528953976,0.769383961792,0.837615693096,0.842206943668,0.891782816203,0.920403217093,0.949486712618,0.370201524596,0.912231926331
MI,0.966337707937,0.897792011702,0.792734741295,0.983174446712,0.784287646908,0.973384678823,0.982725115851,0.90634591649,0.844462433807,0.794165678793,0.762318558595,0.667612420561,0.832947145636,0.836001735664,0.998910693865,0.772734262128,0.75967501483,0.963846551985,0.947842444207,0.991330859782,0.944580328711,1.0,0.703334435949,0.994528626563,0.764149179051,0.802914293039,0.855885258265,0.574378804115,0.601132198096,0.733358211005,0.866297518493,0.697673309476,0.938022781228,0.781058266676,0.78797248611,0.914852134468,0.837682431421,0.871481934939,0.796040434454,0.887877968461,0.628650422376,0.937948625264,0.713964290503,0.893035364385,0.78678727238,0.836363144915,0.864983545805,0.89406704133,0.425621195885,0.967651597619
MN,0.736996728013,0.805542424248,0.910599694654,0.686508882661,0.919046789042,0.729949757127,0.720609320098,0.609680352439,0.858872002142,0.909168757156,0.941015877355,0.964277984612,0.870387290314,0.867332700286,0.702245129815,0.930600173822,0.46300945078,0.739487883965,0.651176880157,0.694665295731,0.758754107238,0.703334435949,1.0,0.708805809387,0.939185256898,0.900420142911,0.847449177685,0.871044368166,0.897797762147,0.436692646955,0.837036917456,0.401007745426,0.641357217177,0.922276169273,0.491306922059,0.618186570418,0.865652004529,0.574816370888,0.499374870404,0.815456467488,0.925315986426,0.641283061214,0.989370145446,0.596369800334,0.91654716357,0.866971291035,0.838350890145,0.80926739462,0.128955631834,0.670986033569
MO,0.971809081374,0.903263385139,0.798206114732,0.977703073275,0.789759020346,0.97885605226,0.988196489289,0.900874543052,0.849933807245,0.79963705223,0.767789932032,0.673083793999,0.838418519073,0.841473109101,0.993439320428,0.778205635565,0.754203641393,0.969317925422,0.94237107077,0.985859486345,0.950051702149,0.994528626563,0.708805809387,1.0,0.769620552489,0.808385666476,0.861356631702,0.579850177553,0.606603571534,0.727886837568,0.871768891931,0.692201936039,0.93255140779,0.786529640114,0.782501112672,0.909380761031,0.843153804858,0.866010561501,0.790569061017,0.893349341899,0.634121795813,0.932477251827,0.719435663941,0.887563990947,0.792258645817,0.841834518352,0.870454919242,0.899538414767,0.420149822447,0.962180224182
MS,0.797811471115,0.86635716735,0.971414437756,0.747323625764,0.979861532144,0.790764500229,0.7814240632,0.670495095542,0.919686745244,0.969983500259,0.998169379543,0.90346324151,0.931202033416,0.928147443388,0.763059872917,0.991414916924,0.523824193882,0.800302627067,0.711991623259,0.755480038833,0.81956885034,0.764149179051,0.939185256898,0.769620552489,1.0,0.961234886013,0.908263920787,0.810229625064,0.836983019045,0.497507390057,0.897851660558,0.461822488528,0.702171960279,0.983090912375,0.552121665162,0.67900131352,0.926466747631,0.635631113991,0.560189613506,0.87627121059,0.864501243324,0.702097804316,0.949815111452,0.657184543436,0.977361906672,0.927786034137,0.899165633247,0.870082137722,0.189770374936,0.731800776671
MT,0.836576585102,0.905122281337,0.989820448257,0.786088739751,0.981373353869,0.829529614216,0.820189177187,0.709260209529,0.958451859231,0.991251385754,0.959404265556,0.864698127523,0.969967147403,0.966912557375,0.801824986904,0.969819969089,0.562589307869,0.839067741054,0.750756737246,0.794245152821,0.858333964327,0.802914293039,0.900420142911,0.808385666476,0.961234886013,1.0,0.947029034774,0.771464511076,0.798217905058,0.536272504044,0.936616774546,0.500587602515,0.740937074266,0.978143973638,0.590886779149,0.717766427507,0.965231861618,0.674396227978,0.598954727493,0.915036324578,0.825736129337,0.740862918303,0.911049997465,0.695949657424,0.983872979341,0.966551148124,0.937930747234,0.908847251709,0.228535488924,0.770565890658
NC,0.889547550329,0.958093246563,0.93684948303,0.839059704977,0.928402388643,0.882500579442,0.873160142414,0.762231174755,0.988577175543,0.938280420528,0.90643330033,0.811727162296,0.977061887371,0.980116477399,0.85479595213,0.916849003863,0.615560273095,0.892038706281,0.803727702472,0.847216118047,0.911304929553,0.855885258265,0.847449177685,0.861356631702,0.908263920787,0.947029034774,1.0,0.71849354585,0.745246939832,0.58924346927,0.989587739772,0.553558567741,0.793908039492,0.925173008412,0.643857744375,0.770737392733,0.981797173156,0.727367193204,0.651925692719,0.968007289804,0.772765164111,0.793833883529,0.858079032238,0.74892062265,0.930902014114,0.98047788665,0.99090171246,0.961818216935,0.28150645415,0.823536855884
ND,0.608041096179,0.676586792413,0.78164406282,0.557553250827,0.790091157207,0.600994125292,0.591653688264,0.480724720605,0.729916370308,0.780213125322,0.812060245521,0.906766383554,0.741431658479,0.738377068452,0.57328949798,0.801644541988,0.334053818946,0.61053225213,0.522221248322,0.565709663897,0.629798475404,0.574378804115,0.871044368166,0.579850177553,0.810229625064,0.771464511076,0.71849354585,1.0,0.973246606019,0.30773701512,0.708081285622,0.272052113592,0.512401585343,0.793320537439,0.362351290225,0.489230938583,0.736696372694,0.445860739054,0.370419238569,0.686500835654,0.945728381739,0.512327429379,0.860414513612,0.4674141685,0.787591531736,0.738015659201,0.70939525831,0.680311762786,0.0,0.542030401734
NE,0.63479449016,0.703340186394,0.808397456801,0.584306644808,0.816844551188,0.627747519274,0.618407082245,0.507478114586,0.756669764289,0.806966519303,0.838813639502,0.933519777535,0.768185052461,0.765130462432,0.600042891961,0.828397935969,0.360807212927,0.637285646112,0.548974642304,0.592463057878,0.656551869385,0.601132198096,0.897797762147,0.606603571534,0.836983019045,0.798217905058,0.745246939832,0.973246606019,1.0,0.334490409102,0.734834679603,0.298805507573,0.539154979324,0.82007393142,0.389104684206,0.515984332565,0.763449766675,0.472614133035,0.397172632551,0.713254229635,0.972481775721,0.539080823361,0.887167907593,0.494167562481,0.814344925717,0.764769053182,0.736148652292,0.707065156767,0.0267533939808,0.568783795716
NH,0.699695918942,0.631150222707,0.526092952301,0.750183764293,0.517645857914,0.706742889828,0.716083326857,0.827012294515,0.577820644813,0.527523889798,0.4956767696,0.400970631567,0.566305356641,0.569359946669,0.73444751714,0.506092473133,0.973683196175,0.69720476299,0.785515766798,0.742027351223,0.677938539717,0.733358211005,0.436692646955,0.727886837568,0.497507390057,0.536272504044,0.58924346927,0.30773701512,0.334490409102,1.0,0.599655729498,0.964315098471,0.795335429778,0.514416477682,0.945385724895,0.818506076537,0.571040642426,0.861876276066,0.937317776551,0.621236179466,0.362008633381,0.795409585741,0.447322501509,0.84032284662,0.520145483385,0.56972135592,0.59834175681,0.627425252335,0.69226298488,0.765706613386
